"winename","region","country","vintage","searchrank","rating_100","price","_id","_vintageId"
"Clos i Terrasses Clos Erasmus","Priorat DOCa","Spain","2004",1032,97,"1615",1164373,1219919
"Bruno Giacosa Albesani Santo Stefano","Barbaresco DOCG","Italy","1989",1145,97,"3474",11822,1497211
"Bruno Giacosa Albesani Santo Stefano","Barbaresco DOCG","Italy","1964",1145,97,"3799",11822,32946718
"Domaine Bruno Clair Clos-Saint-Jacques","Gevrey-Chambertin Premier Cru","France","2018",1179,97,"244",1128187,160368306
"Tusk Estate Cabernet Sauvignon","Napa Valley","USA","2014",1201,97,"886",4303324,144556252
"Tusk Estate Cabernet Sauvignon","Napa Valley","USA","2011",1201,97,"827",4303324,138871684
"Tusk Estate Cabernet Sauvignon","Napa Valley","USA","2010",1201,97,"883",4303324,138868914
"Tusk Estate Cabernet Sauvignon","Napa Valley","USA","2008",1201,97,"841",4303324,141519321
"Colgin Cellars Cariad Red","Napa Valley","USA","2014",1270,97,"538",2556473,8326141
"Colgin Cellars Cariad Red","Napa Valley","USA","2010",1270,97,"587",,
"Torbreck The Laird","Barossa Valley","Australia","2012",1323,97,"642",1183599,6107818
"Torbreck The Laird","Barossa Valley","Australia","2005",1323,97,"693",1183599,2427333
"E. Guigal Ermitage Ex-Voto","Rhone","France","2009",1327,97,"324",,
"Schrader Cellars RBS Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2006",1378,97,"538",1562648,15863059
"Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Oakville","USA","2002",1385,97,"700",87360,115587
"Maybach Family Vineyards Materium Cabernet Sauvignon","Oakville","USA","2016",1429,97,"341",1225285,130265751
"Maybach Family Vineyards Materium Cabernet Sauvignon","Oakville","USA","2015",1429,97,"401",1225285,24468858
"Le Clos du Caillou Chateauneuf-du-Pape La Reserve","Rhone","France","2016",1563,97,"203",1601992,145679241
"Le Clos du Caillou Chateauneuf-du-Pape La Reserve","Rhone","France","2010",1563,97,"208",1601992,2528252
"Kavalan Solist Vinho Barrique Cask Strength Single Malt Whisky","NA","Taiwan","NA",1578,97,"238",,
"Dana Estates Lotus Vineyard Cabernet Sauvignon","Napa Valley","USA","2013",1596,97,"588",1612085,9472279
"Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2013",1621,97,"563",1562648,24565752
"Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2012",1621,97,"630",1562648,15748678
"Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2008",1621,97,"765",1562648,2280868
"Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2006",1621,97,"819",1562648,15863059
"Kapcsandy Family Winery State Lane Vineyard Grand-Vin Cabernet Sauvignon","Napa Valley","USA","2012",1652,97,"542",1380850,12275409
"Kapcsandy Family Winery State Lane Vineyard Grand-Vin Cabernet Sauvignon","Napa Valley","USA","2010",1652,97,"451",1380850,2749305
"Kapcsandy Family Winery State Lane Vineyard Grand-Vin Cabernet Sauvignon","Napa Valley","USA","2008",1652,97,"490",1380850,1779668
"Domaine des Comtes Lafon Genevrieres","Meursault Premier Cru","France","1992",1664,97,"656",79928,2073872
"MacDonald Vineyards Cabernet Sauvignon","Oakville","USA","2015",1684,97,"514",6009665,156389855
"MacDonald Vineyards Cabernet Sauvignon","Oakville","USA","2012",1684,97,"647",6009665,155886457
"Blandy's Vintage Bual","Madeira","Portugal","1920",1712,97,"924",1183551,1328787
"Abreu Vineyard 'Thorevilos' Cabernet Sauvignon","Napa Valley","USA","2014",1727,97,"637",79993,18238356
"Abreu Vineyard 'Thorevilos' Cabernet Sauvignon","Napa Valley","USA","2010",1727,97,"574",79993,8132463
"Abreu Vineyard 'Thorevilos' Cabernet Sauvignon","Napa Valley","USA","2007",1727,97,"840",79993,1722790
"Abreu Vineyard 'Thorevilos' Cabernet Sauvignon","Napa Valley","USA","2002",1727,97,"921",79993,1283190
"Sine Qua Non Cumulus Vineyard 'Next of Kyn'","Central Coast","USA","2013",1780,97,"441",1914259,141831853
"Sine Qua Non Cumulus Vineyard 'Next of Kyn'","Central Coast","USA","2010",1780,97,"664",1914259,4344640
"Bodegas Toro Albala Don PX Convento Seleccion","Montilla-Moriles","Spain","1931",1882,97,"280",,
"W & J Graham's 'The Stone Terraces' Vintage Port","NA","Portugal","2016",1894,97,"291",,
"Realm Cellars The Absurd Proprietary Red","Napa Valley","USA","2015",1942,97,"734",2556060,146553565
"Realm Cellars The Absurd Proprietary Red","Napa Valley","USA","2014",1942,97,"719",2556060,65574878
"Realm Cellars The Absurd Proprietary Red","Napa Valley","USA","2013",1942,97,"968",2556060,19553396
"Leroy Domaine d'Auvenay Les Folatieres","Puligny-Montrachet Premier Cru","France","2004",2003,97,"2967",1930854,4028932
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon","St. Helena","USA","2013",2051,97,"645",87663,19599019
"Domaine Leroy Corton-Renardes Grand Cru","Cote de Beaune","France","2009",2090,97,"5482",,
"Bond Quella","Napa Valley","USA","2013",2196,97,"553",1205587,22712880
"Hundred Acre 'Wraith' Cabernet Sauvignon","Napa Valley","USA","2013",2237,97,"587",5978015,155671168
"Colgin Cellars IX Estate Syrah","Napa Valley","USA","2013",2288,97,"354",1875980,4000334
"Seppeltsfield Para Vintage Tawny","Barossa Valley","Australia","1915",2332,97,"3574",,
"Seppeltsfield Para Vintage Tawny","Barossa Valley","Australia","1914",2332,97,"3767",,
"Kapcsandy Family Winery State Lane Vineyard Roberta's Reserve","Napa Valley","USA","2008",2410,97,"434",10365,2021232
"Kapcsandy Family Winery State Lane Vineyard Roberta's Reserve","Napa Valley","USA","2007",2410,97,"362",10365,1681664
"Hundred Acre 'Few and Far Between' Cabernet Sauvignon","Napa Valley","USA","2010",2442,97,"732",4110288,105956803
"Schrader Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2012",2471,97,"495",1562648,15748678
"Schrader Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2007",2471,97,"536",1562648,4591077
"Marques de Murrieta Castillo Ygay Blanco Gran Reserva Especial","Rioja DOCa","Spain","1986",2645,97,"542",5177761,150105832
"Sine Qua Non The Hated Hunter","California","USA","2017",2670,97,"331",8075594,163411918
"Denis Dubourdieu Chateau Doisy-Daene L'Extravagant de Doisy-Daene","Sauternes","France","2001",2781,97,"495",,
"Michel & Stephane Ogier Cote Rotie La Belle Helene","Rhone","France","2010",2890,97,"466",1109691,3274657
"Futo Estate Red","Oakville","USA","2012",2913,97,"402",89448,5250018
"Realm Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Oakville","USA","2015",3035,97,"430",1562648,153102712
"Realm Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Oakville","USA","2014",3035,97,"359",1562648,145741052
"Clos Saint-Jean Chateauneuf-du-Pape Sanctus Sanctorum","Rhone","France","2009",3086,97,"571",3151802,17238977
"Clos Saint-Jean Chateauneuf-du-Pape Sanctus Sanctorum","Rhone","France","2007",3086,97,"1061",3151802,17238978
"Domaine de la Vieille Julienne Chateauneuf-du-Pape Reserve","Rhone","France","2010",3211,97,"244",77483,2257648
"Avignonesi Occhio di Pernice Vin Santo di Montepulciano","Tuscany","Italy","2001",3477,97,"524",,
"Avignonesi Occhio di Pernice Vin Santo di Montepulciano","Tuscany","Italy","1999",3477,97,"523",,
"Outpost 'True Vineyard' Cabernet Sauvignon","Howell Mountain","USA","2014",3549,97,"413",2001547,36775673
"Outpost 'True Vineyard' Cabernet Sauvignon","Howell Mountain","USA","2013",3549,97,"270",2001547,17799272
"Morlet Family Vineyards Passionement Cabernet Sauvignon","Oakville","USA","2013",3645,97,"250",2726584,20577110
"Bevan Cellars 'EE - Double E' Red","Oakville","USA","2015",3703,97,"253",5812867,155103591
"Weingut Keller Niersteiner Pettenthal Riesling Grosses Gewachs","Rheinhessen","Germany","2016",4232,97,"371",,
"Schrader Cellars T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2013",4319,97,"405",1562648,24565752
"Schrader Cellars T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2008",4319,97,"479",1562648,2280868
"Immortal Estate Impassable Mountain Reserve Cabernet Sauvignon","Sonoma County","USA","2013",4363,97,"368",6811745,159011978
"Abreu Vineyard Cappella Proprietary Red","Napa Valley","USA","2012",4581,97,"521",1639971,9147761
"Carter Cellars Beckstoffer To Kalon Vineyard The O.G. Cabernet Sauvignon","Napa Valley","USA","2015",4611,97,"275",5340965,154470913
"D'Oliveiras Malvasia Reserva Vintage Madeira","NA","Portugal","1900",4636,97,"1841",1806200,2980769
"Avignonesi Vin Santo di Montepulciano","Tuscany","Italy","1990",4979,97,"455",,
"Domaine Giraud Chateauneuf-du-Pape Grenaches de Pierre","Rhone","France","2010",5119,97,"189",1206928,3444805
"M. Chapoutier Ermitage Vin de Paille","Rhone","France","2009",5548,97,"292",,
"Egon Muller Wiltingen Scharzhofberger Riesling Auslese Goldkapsel","Mosel","Germany","2005",5584,97,"1011",,
"Egon Muller Wiltingen Scharzhofberger Riesling Auslese Goldkapsel","Mosel","Germany","1994",5584,97,"2323",,
"Cantina Terlano-Kellerei Terlan 'Rarity' Alto Adige","Trentino-Alto Adige","Italy","1991",5626,97,"386",,
"Comando G Las Umbrias","Madrid","Spain","2015",5898,97,"83",,
"Domaine Fontaine-Gagnard Montrachet Grand Cru","Cote de Beaune","France","2008",6036,97,"407",,
"Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon","Napa Valley","USA","2017",6323,97,"291",1937811,157871518
"Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon","Napa Valley","USA","2016",6323,97,"415",1937811,148134126
"Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon","Napa Valley","USA","2015",6323,97,"270",1937811,151347963
"Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon","Napa Valley","USA","2013",6323,97,"414",1937811,19700988
"Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon","Napa Valley","USA","2012",6323,97,"342",1937811,11511236
"Alban Vineyards Pandora Red","Edna Valley","USA","2012",6423,97,"367",86681,24044431
"Domaine Louis Carillon et Fils Bienvenues-Batard-Montrachet Grand Cru","Cote de Beaune","France","2001",6663,97,"NA",,
"Greer Cabernet Sauvignon","Napa Valley","USA","2016",7112,97,"225",2006150,160626237
"Alban Vineyards Lorraine Estate Syrah","Edna Valley","USA","2012",7112,97,"225",86667,142638973
"Frank Family Vineyards Winston Hill Red","Rutherford","USA","2015",7140,97,"200",1654004,39735708
"Hundred Acre 'Deep Time' Cabernet Sauvignon","Napa Valley","USA","2005",7757,97,"472",4110291,142551741
"Weingut Donnhoff Oberhauser Brucke Riesling Eiswein","Nahe","Germany","2010",7911,97,"440",,
"Weingut Donnhoff Oberhauser Brucke Riesling Eiswein","Nahe","Germany","2008",7911,97,"377",,
"Weingut Donnhoff Oberhauser Brucke Riesling Eiswein","Nahe","Germany","1998",7911,97,"850",,
"Andremily Wines Mourvedre","Santa Barbara County","USA","2017",7939,97,"144",3235285,151899088
"Morlet Family Vineyards Estate Cabernet Sauvignon","St Helena - Napa Valley","USA","2013",7939,97,"203",4139668,143057137
"Buccella Cuvee Katrina Eileen Cabernet Sauvignon","Napa Valley","USA","2013",8035,97,"329",1851016,24859486
"Sine Qua Non 'E' Grenache","Sta Rita Hills","USA","2015",8918,97,"521",,
"Lokoya Winery Cabernet Sauvignon","Diamond Mountain District","USA","2007",9309,97,"398",2109986,4550001
"Bodegas Toro Albala Don PX","Montilla-Moriles","Spain","1961",9661,97,"177",86829,161760870
"Chimere Chateauneuf-du-Pape","Rhone","France","2010",10193,97,"992",,
"Weingut Wittmann 'La Borne' Alte Reben Riesling","Rheinhessen","Germany","2015",10298,97,"199",,
"Bevan Cellars Tin Box Vineyard Red","Oakville","USA","2013",10706,97,"322",2058514,24526208
"Bevan Cellars Tin Box Vineyard Red","Oakville","USA","2012",10706,97,"274",2058514,7679166
