"pos","Wine","Vintage","GWS","CI","NBJ","_id","_vintageId"
12,"Dana Estates, Lotus Vineyard Cabernet Sauvignon, Napa Valley",2010,99.08,"B",3,1612085,3136069
74,"Dana Estates, Lotus Vineyard Cabernet Sauvignon, Napa Valley",2013,98.02,"A+",3,1612085,9472279
21,"Dominus Estate, Christian Moueix, Napa Valley",2013,98.9,"B",6,9958,2056770
92,"Dominus Estate, Christian Moueix, Napa Valley",2015,97.76,"B",4,9958,15223766
17,"Dunn Vineyards, Trailer Vineyard Cabernet Sauvignon, Howell Mountain",2013,98.97,"B",3,,
37,"Futo Estate, 5500 Sld - Cabernet Sauvignon, Stags Leap District",2015,98.63,"B+",3,1144511,23893678
18,"Harlan Estate, Napa Valley",2002,98.96,"B",6,,
22,"Harlan Estate, Napa Valley",2001,98.89,"A+",6,,
25,"Harlan Estate, Napa Valley",1997,98.78,"B",4,,
28,"Harlan Estate, Napa Valley",2007,98.76,"A",7,,
33,"Harlan Estate, Napa Valley",2013,98.66,"A",8,,
44,"Harlan Estate, Napa Valley",2010,98.41,"B",8,,
72,"Harlan Estate, Napa Valley",2015,98.04,"A+",5,,
78,"Hundred Acre, Ark Vineyard Cabernet Sauvignon, Howell Mountain",2012,97.93,"C+",3,1637962,7081926
76,"Hundred Acre, Deep Time Cabernet Sauvignon, Napa Valley",2009,97.99,"B",3,4110291,111145575
23,"Hundred Acre, Few And Far Between Cabernet Sauvignon, Napa Valley",2012,98.88,"B",3,4110288,114771893
79,"Hundred Acre, Few And Far Between Cabernet Sauvignon, Napa Valley",2013,97.93,"C+",3,4110288,126346084
38,"Hundred Acre, Fortification Port, Napa Valley",2005,98.62,"B",3,,
83,"Hundred Acre, Fortification Port, Napa Valley",2007,97.87,"C+",3,,
82,"Hundred Acre, Kayli Morgan Vineyard Cabernet Sauvignon, Napa Valley",2005,97.87,"B",4,84351,1431575
97,"Hundred Acre, Kayli Morgan Vineyard Cabernet Sauvignon, Napa Valley",2002,97.66,"B",4,84351,1921316
69,"Joseph Phelps Vineyards, Insignia, Napa Valley",1991,98.13,"B",3,16587,1717304
81,"Kapcsandy Family Winery, Rapszodia, Yountville",2015,97.89,"A+",3,4099870,154954253
1,"Kapcsandy Family Winery, State Lane Vineyard Grand-Vin Cabernet Sauvignon, Napa Valley",2015,100,"B",4,1380850,148629840
